Date,Contraction,Unemployment,Yield Spread,GDP pct change
1970-04-01,1.0,4.8,0.2599999999999998,0.1419197122550564
1970-07-01,1.0,5.2,0.5199999999999996,0.9215753701755869
1970-10-01,1.0,5.8,1.1999999999999993,-1.0716435375180522
1971-01-01,0.0,5.9,1.9699999999999998,2.7159914524667483
1971-04-01,0.0,5.9,1.2599999999999998,0.541111921583437
1971-07-01,0.0,6.0,0.7300000000000004,0.8229846352266534
1971-10-01,0.0,5.9,1.1599999999999993,0.23577929952318666
1972-01-01,0.0,5.8,1.62,1.8389534957083287
1972-04-01,0.0,5.7,1.2999999999999998,2.2697596290031097
1972-07-01,0.0,5.6,1.1399999999999997,0.9443909603740419
1972-10-01,0.0,5.4,0.9299999999999997,1.6744612712049634
1973-01-01,0.0,4.9,0.29000000000000004,2.474812926640224
1973-04-01,0.0,4.9,-0.20999999999999996,1.0886514874432818
1973-07-01,0.0,4.8,-1.2999999999999998,-0.525902605460149
1973-10-01,0.0,4.8,-0.6600000000000001,0.9492254278211432
1974-01-01,1.0,5.1,-0.2999999999999998,-0.8597650821583813
1974-04-01,1.0,5.2,-1.1499999999999995,0.23767709338364806
1974-07-01,1.0,5.6,-1.0499999999999998,-0.9451337881069
1974-10-01,1.0,6.6,0.0,-0.3881412688787722
1975-01-01,1.0,8.3,1.2300000000000004,-1.2173005163690132
1975-04-01,0.0,8.9,1.5200000000000005,0.7145437150649636
1975-07-01,0.0,8.5,0.7800000000000011,1.7116575396399325
1975-10-01,0.0,8.3,1.3800000000000008,1.3465075049564845
1976-01-01,0.0,7.7,1.7699999999999996,2.2487609314767454
1976-04-01,0.0,7.6,1.4899999999999993,0.7336955598947092
1976-07-01,0.0,7.7,1.7200000000000006,0.5487204753442665
1976-10-01,0.0,7.8,1.96,0.7248462557824187
1977-01-01,0.0,7.5,1.9299999999999997,1.1814920985323552
1977-04-01,0.0,7.1,1.6799999999999997,1.9441091643481956
1977-07-01,0.0,6.9,1.08,1.8043508496558225
1977-10-01,0.0,6.7,0.6399999999999997,0.0021871732117428877
1978-01-01,0.0,6.3,0.7000000000000002,0.31917766621678556
1978-04-01,0.0,6.0,0.5300000000000002,3.864250810176828
1978-07-01,0.0,6.0,0.040000000000000924,1.0055229458550308
1978-10-01,0.0,5.9,-1.0,1.3441463794050534
1979-01-01,0.0,5.9,-1.1900000000000013,0.17978366225814835
1979-04-01,0.0,5.7,-0.8300000000000001,0.10692904355389388
1979-07-01,0.0,5.9,-1.0500000000000007,0.7428734922166225
1979-10-01,0.0,6.0,-1.8200000000000003,0.2500735380633001
1980-01-01,0.0,6.3,-1.9399999999999995,0.3145152807215279
1980-04-01,1.0,7.3,0.20000000000000107,-2.0604767053432504
1980-07-01,1.0,7.7,0.8099999999999987,-0.11884864202100776
1980-10-01,0.0,7.4,-1.42,1.8649251270109302
1981-01-01,0.0,7.4,-1.1599999999999984,1.959438089038934
1981-04-01,0.0,7.4,-1.3800000000000008,-0.7410780012557794
1981-07-01,0.0,7.4,-1.4700000000000006,1.1975243776465305
1981-10-01,1.0,8.2,0.5399999999999991,-1.0895461323118694
1982-01-01,1.0,8.8,-0.040000000000000924,-1.5535405503103616
1982-04-01,1.0,9.4,0.129999999999999,0.4561965645299315
1982-07-01,1.0,9.9,1.2799999999999994,-0.38229525411830334
1982-10-01,1.0,10.7,1.5399999999999991,0.03994246285283776
1983-01-01,0.0,10.4,1.700000000000001,1.317854311438893
1983-04-01,0.0,10.1,1.3599999999999994,2.2756053849136038
1983-07-01,0.0,9.4,1.33,1.999068801707815
1983-10-01,0.0,8.5,1.7400000000000002,2.0862193277900065
1984-01-01,0.0,7.9,1.7599999999999998,1.954769640374865
1984-04-01,0.0,7.4,1.6499999999999986,1.7277908578901213
1984-07-01,0.0,7.4,1.0599999999999987,0.9640641099808889
1984-10-01,0.0,7.3,1.7200000000000006,0.8208628114876548
1985-01-01,0.0,7.2,2.1899999999999995,0.9690868070579617
1985-04-01,0.0,7.3,2.34,0.8804553332736109
1985-07-01,0.0,7.2,2.3499999999999996,1.5271243267568346
1985-10-01,0.0,7.0,1.9100000000000001,0.7432920281009725
1986-01-01,0.0,7.0,1.1000000000000005,0.9335038885879499
1986-04-01,0.0,7.2,0.9899999999999993,0.4503839492487227
1986-07-01,0.0,7.0,1.3199999999999994,0.9570323786425528
1986-10-01,0.0,6.8,1.46,0.5370757362464618
1987-01-01,0.0,6.6,1.2700000000000005,0.7451714433557521
1987-04-01,0.0,6.3,1.5700000000000003,1.0788979119299658
1987-07-01,0.0,6.0,1.7500000000000009,0.8676120385809671
1987-10-01,0.0,5.8,1.879999999999999,1.7170525807583825
1988-01-01,0.0,5.7,1.6399999999999997,0.5166263025966567
1988-04-01,0.0,5.5,1.6100000000000003,1.3138672913233451
1988-07-01,0.0,5.5,1.0999999999999996,0.5859287724467421
1988-10-01,0.0,5.3,0.4300000000000015,1.332495823227653
1989-01-01,0.0,5.2,-0.0799999999999983,1.01660249105624
1989-04-01,0.0,5.2,-0.16000000000000014,0.7632691197986041
1989-07-01,0.0,5.2,0.009999999999999787,0.7408807153262087
1989-10-01,0.0,5.4,0.08000000000000007,0.1970467769890405
1990-01-01,0.0,5.3,0.28999999999999915,1.0927903341079404
1990-04-01,0.0,5.3,0.41000000000000014,0.36290821965425657
1990-07-01,0.0,5.7,0.8699999999999992,0.06652292405728844
1990-10-01,1.0,6.1,1.1000000000000005,-0.910379412712603
1991-01-01,1.0,6.6,1.5799999999999992,-0.467843817691449
1991-04-01,0.0,6.8,1.8900000000000006,0.7797188308543479
1991-07-01,0.0,6.9,2.0500000000000007,0.5052966063139541
1991-10-01,0.0,7.1,2.4799999999999995,0.3484986704967552
1992-01-01,0.0,7.4,2.9399999999999995,1.197051657553705
1992-04-01,0.0,7.6,3.16,1.084353347361211
1992-07-01,0.0,7.6,3.2,0.9882719295369435
1992-10-01,0.0,7.4,3.18,1.0431646878103829
1993-01-01,0.0,7.1,2.87,0.16740030769200054
1993-04-01,0.0,7.1,2.6100000000000003,0.5824196249446523
1993-07-01,0.0,6.8,2.2,0.4773147327197913
1993-10-01,0.0,6.6,2.0800000000000005,1.3601133267059584
1994-01-01,0.0,6.6,2.16,0.9702162778121304
1994-04-01,0.0,6.2,1.9500000000000002,1.3550458663372122
1994-07-01,0.0,6.0,1.7300000000000004,0.584515241039063
1994-10-01,0.0,5.6,1.2400000000000002,1.145524444946755
1995-01-01,0.0,5.5,0.75,0.3547561422725165
1995-04-01,0.0,5.7,0.6500000000000004,0.29834087721476443
1995-07-01,0.0,5.7,0.6699999999999999,0.8506775349641948
1995-10-01,0.0,5.6,0.4499999999999993,0.6790210275422925
1996-01-01,0.0,5.5,0.79,0.748946819728058
1996-04-01,0.0,5.5,1.0599999999999996,1.6678474261538456
1996-07-01,0.0,5.3,1.0,0.8969913774119487
1996-10-01,0.0,5.3,0.8599999999999994,1.0383819880298795
1997-01-01,0.0,5.2,0.9099999999999993,0.6455643649041276
1997-04-01,0.0,5.0,0.8500000000000005,1.6620014538414107
1997-07-01,0.0,4.9,0.7000000000000002,1.250848032934071
1997-10-01,0.0,4.7,0.4299999999999997,0.858816512500904
1998-01-01,0.0,4.6,0.28000000000000025,0.9994799150143896
1998-04-01,0.0,4.4,0.1899999999999995,0.9258071380773059
1998-07-01,0.0,4.5,0.11000000000000032,1.2525674022645372
1998-10-01,0.0,4.4,0.28000000000000025,1.61588022905792
1999-01-01,0.0,4.3,0.3200000000000003,0.9464718808496864
1999-04-01,0.0,4.3,0.6600000000000001,0.7691586419832142
1999-07-01,0.0,4.2,0.7199999999999998,1.3096648337818317
1999-10-01,0.0,4.1,0.5299999999999994,1.6995850307821136
2000-01-01,0.0,4.0,0.29000000000000004,0.3617601519165792
2000-04-01,0.0,3.9,-0.040000000000000036,1.8311646720460928
2000-07-01,0.0,4.0,-0.2400000000000002,0.13355528468468325
2000-10-01,0.0,3.9,-0.33000000000000007,0.6228895894113018
2001-01-01,0.0,4.2,0.4500000000000002,-0.28517765460835953
2001-04-01,1.0,4.4,1.4899999999999998,0.5845557900850507
2001-07-01,1.0,4.8,1.6800000000000006,-0.4150380932788966
2001-10-01,1.0,5.5,2.5299999999999994,0.2723713727607713
2002-01-01,0.0,5.7,2.7600000000000002,0.8745142162867703
